gp_height	coplanarity		 	Dimension	Average	Max diff	Nominal	Upper Tol	Lower Tol
0.0033500	0.0056300			gp_height	0.00123818	0.00332000	0.00100000	0.00250000	-0.00200000
0.0020000	0.0052500			coplanarity	0.00347773	0.00566000	0.00000000	0.00400000	0.00000000
0.0025900	0.0058100								
0.0016900	0.0055700								
0.0000300	0.0012000								
0.0004700	0.0016400								
0.0004100	0.0015600								
0.0002800	0.0013700								
0.0001300	0.0010800								
0.0009600	0.0042800								
0.0021800	0.0055600								
0.0008600	0.0039700								
0.0011100	0.0067400								
0.0010100	0.0041900								
0.0026200	0.0037100								
0.0009900	0.0028400								
0.0007900	0.0024700								
0.0018900	0.0037100								
0.0004500	0.0014200								
0.0004100	0.0015700								
0.0015100	0.0038500								
0.0015100	0.0030900								
