Observation	System_A	System_B	Difference
1	0.37398000	0.36912000	0.00486000
2	0.36323000	0.34177000	0.02146000
3	0.36838000	0.36879000	-0.00041000
4	0.36650000	0.37697000	-0.01047000
5	0.37077000	0.36781000	0.00296000
6	0.35807000	0.34552000	0.01255000
7	0.36875000	0.38367000	-0.01492000
8	0.35846000	0.36957000	-0.01111000
9	0.35355000	0.36761000	-0.01406000
10	0.35156000	0.34801000	0.00355000
11	0.34926000	0.38999000	-0.04073000
12	0.36347000	0.36603000	-0.00256000
13	0.35326000	0.36844000	-0.01518000
14	0.34740000	0.34845000	-0.00105000
15	0.35737000	0.35542000	0.00195000
16	0.34905000	0.37333000	-0.02428000
17	0.34778000	0.35122000	-0.00344000
18	0.34624000	0.34616000	0.00008000
19	0.36379000	0.39849000	-0.03470000
20	0.35826000	0.36684000	-0.00858000
21	0.35988000	0.35810000	0.00178000
22	0.35282000	0.32966000	0.02316000
23	0.36326000	0.37876000	-0.01550000
24	0.34509000	0.36907000	-0.02398000
25	0.34065000	0.36305000	-0.02240000
26	0.34184000	0.35258000	-0.01074000
27	0.33269000	0.35488000	-0.02219000
28	0.34732000	0.36277000	-0.01545000
29	0.33494000	0.36501000	-0.03007000
30	0.34328000	0.33120000	0.01208000
31	0.34741000	0.37625000	-0.02884000
32	0.35075000	0.37529000	-0.02454000
33	0.33790000	0.34995000	-0.01205000
34	0.35007000	0.33931000	0.01076000
35	0.34840000	0.38986000	-0.04146000
36	0.34171000	0.37433000	-0.03262000
37	0.33977000	0.36673000	-0.02696000
38	0.33881000	0.34682000	-0.00801000
39	0.32949000	0.36078000	-0.03129000
40	0.34015000	0.37238000	-0.03223000
41	0.34578000	0.36694000	-0.02116000
42	0.33969000	0.33814000	0.00155000
43	0.34547000	0.36356000	-0.01809000
44	0.33711000	0.37137000	-0.03426000
45	0.33970000	0.36099000	-0.02129000
46	0.33006000	0.34089000	-0.01083000
47	0.34275000	0.35334000	-0.01059000
48	0.32580000	0.36943000	-0.04363000
49	0.33220000	0.36332000	-0.03112000
50	0.34711000	0.33897000	0.00814000
51	0.33427000	0.37039000	-0.03612000
52	0.33438000	0.36464000	-0.03026000
53	0.33353000	0.35178000	-0.01825000
54	0.33232000	0.34151000	-0.00919000
55	0.32746000	0.34869000	-0.02123000
56	0.32539000	0.37648000	-0.05109000
57	0.32203000	0.34492000	-0.02289000
58	0.30768000	0.32693000	-0.01925000
59	0.31677000	0.35444000	-0.03767000
60	0.32165000	0.35637000	-0.03472000
61	0.32914000	0.36427000	-0.03513000
62	0.31592000	0.35024000	-0.03432000
63	0.32715000	0.38956000	-0.06241000
64	0.32920000	0.36873000	-0.03953000
65	0.32991000	0.35162000	-0.02171000
66	0.32093000	0.33812000	-0.01719000
67	0.32492000	0.35413000	-0.02921000
68	0.33870000	0.37148000	-0.03278000
69	0.33765000	0.33816000	-0.00051000
70	0.33134000	0.34565000	-0.01431000
71	0.32997000	0.37094000	-0.04097000
72	0.33458000	0.36130000	-0.02672000
73	0.33851000	0.35674000	-0.01823000
74	0.33093000	0.34667000	-0.01574000
75	0.34652000	0.35712000	-0.01060000
76	0.33534000	0.36646000	-0.03112000
